                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2001,                 3.6305,                 3.3567,                0.30095,                0.21374,                0.18948,                0.05281,                 2.4762,                 2.9374,                 2.7836,              0.0006625,              0.0006625,              0.0006625
                      2,                 2.4278,                 2.0928,                  2.386,                0.46975,                0.54351,                0.44796,                0.14105,                 2.2827,                 1.8569,                 2.4606,              0.0013028,              0.0013028,              0.0013028
                      3,                 2.3588,                 1.7632,                 2.2909,                0.43654,                0.47786,                0.42209,                0.14517,                  2.365,                 2.2755,                 2.5718,              0.0019168,              0.0019168,              0.0019168
                      4,                  2.286,                 1.6027,                 2.2418,                0.54055,                0.50474,                0.48308,                0.15442,                 2.5032,                 2.0252,                 2.6657,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.2419,                 1.5232,                 2.1827,                 0.4611,                0.39059,                0.39119,                0.13623,                  2.248,                 2.6158,                 2.4929,              0.0018416,              0.0018416,              0.0018416
                      6,                  2.204,                 1.4987,                 2.1808,                 0.5945,                0.66718,                0.59875,                0.19731,                 2.1625,                 1.5567,                  2.341,               0.001802,               0.001802,               0.001802
                      7,                 2.1943,                 1.4529,                 2.1573,                0.64756,                0.43359,                0.54711,                0.20191,                 2.1741,                 2.4227,                 2.3609,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.1711,                 1.4213,                 2.1219,                0.74277,                0.69466,                0.73847,                0.26108,                 2.1717,                 1.4186,                 2.3361,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.1568,                 1.3641,                 2.1229,                0.79513,                0.75252,                0.75605,                0.26423,                 2.1589,                 1.3234,                 2.3086,              0.0016832,              0.0016832,              0.0016832
                     10,                 2.1397,                 1.3544,                 2.0962,                0.69647,                0.66718,                0.70334,                 0.2393,                 2.2635,                 1.3496,                 2.3892,              0.0016436,              0.0016436,              0.0016436
                     11,                 2.1575,                 1.3572,                 2.1142,                0.83944,                0.75878,                0.81816,                0.28655,                 2.1469,                 1.2947,                 2.2955,               0.001604,               0.001604,               0.001604
                     12,                 2.1245,                 1.3384,                 2.0917,                0.82471,                0.79729,                0.82454,                0.28021,                  2.213,                 1.2512,                 2.3436,              0.0015644,              0.0015644,              0.0015644
                     13,                 2.1426,                 1.3335,                 2.1104,                0.76648,                0.71659,                0.73121,                0.24794,                 2.2005,                 1.3399,                 2.3355,              0.0015248,              0.0015248,              0.0015248
